"...1.x","time","latitude","longitude","chlorophyll","month","year_month","...1.y","YEAR","Month","Temperature","Date","ColorCategory","enso_event"
146618,2006-02-15,36.6,-122.4,4.730353,2006-02-15,"2006-02",74,2006,"Feb",-0.5,2006-02-01,"Below Threshold","La Nina"
152413,2006-03-16 12:00:00,36.6,-122.4,1.2607778,2006-03-16 12:00:00,"2006-03",75,2006,"March",-0.6,2006-03-01,"Below Threshold","La Nina"
158208,2006-04-16,36.6,-122.4,2.3624446,2006-04-16,"2006-04",76,2006,"April",-0.8,2006-04-01,"Below Threshold","La Nina"
164003,2006-05-16 12:00:00,36.6,-122.4,2.488235,2006-05-16 12:00:00,"2006-05",77,2006,"May",-0.4,2006-05-01,"Below Threshold","La Nina"
169798,2006-06-16,36.6,-122.4,14.2609005,2006-06-16,"2006-06",78,2006,"June",-0.2,2006-06-01,"Below Threshold","La Nina"
175593,2006-07-16 12:00:00,36.6,-122.4,3.9832,2006-07-16 12:00:00,"2006-07",79,2006,"July",0.2,2006-07-01,"Above Threshold","El Nino"
181388,2006-08-16 12:00:00,36.6,-122.4,6.3594,2006-08-16 12:00:00,"2006-08",80,2006,"Aug",0.6,2006-08-01,"Above Threshold","El Nino"
187183,2006-09-16,36.6,-122.4,1.1832501,2006-09-16,"2006-09",81,2006,"Sep",0.7,2006-09-01,"Above Threshold","El Nino"
192978,2006-10-16 12:00:00,36.6,-122.4,0.6041818,2006-10-16 12:00:00,"2006-10",82,2006,"Oct",0.8,2006-10-01,"Above Threshold","El Nino"
198773,2006-11-16,36.6,-122.4,1.7624613,2006-11-16,"2006-11",83,2006,"NOv",1,2006-11-01,"Above Threshold","El Nino"
204568,2006-12-16 12:00:00,36.6,-122.4,0.9477499,2006-12-16 12:00:00,"2006-12",84,2006,"Dec",0.6,2006-12-01,"Above Threshold","El Nino"
210363,2007-01-16 12:00:00,36.6,-122.4,0.8318889,2007-01-16 12:00:00,"2007-01",85,2007,"Jan",0.6,2007-01-01,"Above Threshold","El Nino"
216158,2007-02-15,36.6,-122.4,0.71733326,2007-02-15,"2007-02",86,2007,"Feb",0.4,2007-02-01,"Above Threshold","El Nino"
221953,2007-03-16 12:00:00,36.6,-122.4,3.472143,2007-03-16 12:00:00,"2007-03",87,2007,"March",-0.2,2007-03-01,"Below Threshold","La Nina"
227748,2007-04-16,36.6,-122.4,14.181722,2007-04-16,"2007-04",88,2007,"April",-0.3,2007-04-01,"Below Threshold","La Nina"
233543,2007-05-16 12:00:00,36.6,-122.4,2.701333,2007-05-16 12:00:00,"2007-05",89,2007,"May",-0.4,2007-05-01,"Below Threshold","La Nina"
239338,2007-06-16,36.6,-122.4,23.25792,2007-06-16,"2007-06",90,2007,"June",-0.8,2007-06-01,"Below Threshold","La Nina"
245133,2007-07-16 12:00:00,36.6,-122.4,1.6717501,2007-07-16 12:00:00,"2007-07",91,2007,"July",-0.7,2007-07-01,"Below Threshold","La Nina"
250928,2007-08-16 12:00:00,36.6,-122.4,3.8969233,2007-08-16 12:00:00,"2007-08",92,2007,"Aug",-0.9,2007-08-01,"Below Threshold","La Nina"
256723,2007-09-16,36.6,-122.4,1.7231052,2007-09-16,"2007-09",93,2007,"Sep",-1.1,2007-09-01,"Below Threshold","La Nina"
262518,2007-10-16 12:00:00,36.6,-122.4,1.0149412,2007-10-16 12:00:00,"2007-10",94,2007,"Oct",-1.1,2007-10-01,"Below Threshold","La Nina"
268313,2007-11-16,36.6,-122.4,0.79846156,2007-11-16,"2007-11",95,2007,"NOv",-1.1,2007-11-01,"Below Threshold","La Nina"
274108,2007-12-16 12:00:00,36.6,-122.4,1.0294167,2007-12-16 12:00:00,"2007-12",96,2007,"Dec",-1.2,2007-12-01,"Below Threshold","La Nina"
279903,2008-01-16 12:00:00,36.6,-122.4,0.87962496,2008-01-16 12:00:00,"2008-01",97,2008,"Jan",-1.1,2008-01-01,"Below Threshold","La Nina"
285698,2008-02-15 12:00:00,36.6,-122.4,1.0478461,2008-02-15 12:00:00,"2008-02",98,2008,"Feb",-1.3,2008-02-01,"Below Threshold","La Nina"
291493,2008-03-16 12:00:00,36.6,-122.4,2.8231502,2008-03-16 12:00:00,"2008-03",99,2008,"March",-1.5,2008-03-01,"Below Threshold","La Nina"
297288,2008-04-16,36.6,-122.4,1.8101904,2008-04-16,"2008-04",100,2008,"April",-1.1,2008-04-01,"Below Threshold","La Nina"
303083,2008-05-16 12:00:00,36.6,-122.4,0.949,2008-05-16 12:00:00,"2008-05",101,2008,"May",-1,2008-05-01,"Below Threshold","La Nina"
308878,2008-06-16,36.6,-122.4,1.0461538,2008-06-16,"2008-06",102,2008,"June",-0.8,2008-06-01,"Below Threshold","La Nina"
314673,2008-07-16 12:00:00,36.6,-122.4,1.3504286,2008-07-16 12:00:00,"2008-07",103,2008,"July",-0.8,2008-07-01,"Below Threshold","La Nina"
320468,2008-08-16 12:00:00,36.6,-122.4,2.0885,2008-08-16 12:00:00,"2008-08",104,2008,"Aug",-1,2008-08-01,"Below Threshold","La Nina"
326263,2008-09-16,36.6,-122.4,1.0710715,2008-09-16,"2008-09",105,2008,"Sep",-1,2008-09-01,"Below Threshold","La Nina"
332058,2008-10-16 12:00:00,36.6,-122.4,1.0835882,2008-10-16 12:00:00,"2008-10",106,2008,"Oct",-1.1,2008-10-01,"Below Threshold","La Nina"
337853,2008-11-16,36.6,-122.4,0.9088667,2008-11-16,"2008-11",107,2008,"NOv",-1,2008-11-01,"Below Threshold","La Nina"
343648,2008-12-16 12:00:00,36.6,-122.4,1.0982,2008-12-16 12:00:00,"2008-12",108,2008,"Dec",-1,2008-12-01,"Below Threshold","La Nina"
349443,2009-01-16 12:00:00,36.6,-122.4,0.9300556,2009-01-16 12:00:00,"2009-01",109,2009,"Jan",-1,2009-01-01,"Below Threshold","La Nina"
355238,2009-02-15,36.6,-122.4,1.8724614,2009-02-15,"2009-02",110,2009,"Feb",-0.8,2009-02-01,"Below Threshold","La Nina"
361033,2009-03-16 12:00:00,36.6,-122.4,4.3906665,2009-03-16 12:00:00,"2009-03",111,2009,"March",-0.9,2009-03-01,"Below Threshold","La Nina"
366828,2009-04-16,36.6,-122.4,1.096,2009-04-16,"2009-04",112,2009,"April",-0.8,2009-04-01,"Below Threshold","La Nina"
372623,2009-05-16 12:00:00,36.6,-122.4,12.581573,2009-05-16 12:00:00,"2009-05",113,2009,"May",-0.7,2009-05-01,"Below Threshold","La Nina"
378418,2009-06-16,36.6,-122.4,0.6041667,2009-06-16,"2009-06",114,2009,"June",0,2009-06-01,"Below Threshold","La Nina"
384213,2009-07-16 12:00:00,36.6,-122.4,1.64575,2009-07-16 12:00:00,"2009-07",115,2009,"July",0.6,2009-07-01,"Above Threshold","El Nino"
390008,2009-08-16 12:00:00,36.6,-122.4,1.24944,2009-08-16 12:00:00,"2009-08",116,2009,"Aug",0.6,2009-08-01,"Above Threshold","El Nino"
395803,2009-09-16,36.6,-122.4,1.37738,2009-09-16,"2009-09",117,2009,"Sep",0.4,2009-09-01,"Above Threshold","El Nino"
401598,2009-10-16 12:00:00,36.6,-122.4,9.503333,2009-10-16 12:00:00,"2009-10",118,2009,"Oct",0.6,2009-10-01,"Above Threshold","El Nino"
407393,2009-11-16,36.6,-122.4,1.735,2009-11-16,"2009-11",119,2009,"NOv",1,2009-11-01,"Above Threshold","El Nino"
413188,2009-12-16 12:00:00,36.6,-122.4,2.2485557,2009-12-16 12:00:00,"2009-12",120,2009,"Dec",1,2009-12-01,"Above Threshold","El Nino"
418983,2010-01-16 12:00:00,36.6,-122.4,0.86157143,2010-01-16 12:00:00,"2010-01",121,2010,"Jan",0.9,2010-01-01,"Above Threshold","El Nino"
424778,2010-02-15,36.6,-122.4,1.1858333,2010-02-15,"2010-02",122,2010,"Feb",1.3,2010-02-01,"Above Threshold","El Nino"
430573,2010-03-16 12:00:00,36.6,-122.4,3.7185388,2010-03-16 12:00:00,"2010-03",123,2010,"March",1.3,2010-03-01,"Above Threshold","El Nino"
436368,2010-04-16,36.6,-122.4,4.533667,2010-04-16,"2010-04",124,2010,"April",0.5,2010-04-01,"Above Threshold","El Nino"
442163,2010-05-16 12:00:00,36.6,-122.4,3.2731333,2010-05-16 12:00:00,"2010-05",125,2010,"May",-0.1,2010-05-01,"Below Threshold","La Nina"
447958,2010-06-16,36.6,-122.4,2.84775,2010-06-16,"2010-06",126,2010,"June",-1.3,2010-06-01,"Below Threshold","La Nina"
453753,2010-07-16 12:00:00,36.6,-122.4,0.45366666,2010-07-16 12:00:00,"2010-07",127,2010,"July",-2.4,2010-07-01,"Below Threshold","La Nina"
459548,2010-08-16 12:00:00,36.6,-122.4,0.6865,2010-08-16 12:00:00,"2010-08",128,2010,"Aug",-2.4,2010-08-01,"Below Threshold","La Nina"
465343,2010-09-16,36.6,-122.4,1.5568124,2010-09-16,"2010-09",129,2010,"Sep",-2.3,2010-09-01,"Below Threshold","La Nina"
471138,2010-10-16 12:00:00,36.6,-122.4,0.6094,2010-10-16 12:00:00,"2010-10",130,2010,"Oct",-2.2,2010-10-01,"Below Threshold","La Nina"
476933,2010-11-16,36.6,-122.4,0.89405,2010-11-16,"2010-11",131,2010,"NOv",-2,2010-11-01,"Below Threshold","La Nina"
482728,2010-12-16 12:00:00,36.6,-122.4,0.57100004,2010-12-16 12:00:00,"2010-12",132,2010,"Dec",-1.9,2010-12-01,"Below Threshold","La Nina"
488523,2011-01-16 12:00:00,36.6,-122.4,0.68169236,2011-01-16 12:00:00,"2011-01",133,2011,"Jan",-1.8,2011-01-01,"Below Threshold","La Nina"
494318,2011-02-15,36.6,-122.4,0.50976473,2011-02-15,"2011-02",134,2011,"Feb",-1.6,2011-02-01,"Below Threshold","La Nina"
500113,2011-03-16 12:00:00,36.6,-122.4,0.45355552,2011-03-16 12:00:00,"2011-03",135,2011,"March",-1.7,2011-03-01,"Below Threshold","La Nina"
505908,2011-04-16,36.6,-122.4,0.27644998,2011-04-16,"2011-04",136,2011,"April",-1.7,2011-04-01,"Below Threshold","La Nina"
511703,2011-05-16 12:00:00,36.6,-122.4,0.27370587,2011-05-16 12:00:00,"2011-05",137,2011,"May",-1.2,2011-05-01,"Below Threshold","La Nina"
517498,2011-06-16,36.6,-122.4,0.89441675,2011-06-16,"2011-06",138,2011,"June",-1,2011-06-01,"Below Threshold","La Nina"
523293,2011-07-16 12:00:00,36.6,-122.4,1.3433334,2011-07-16 12:00:00,"2011-07",139,2011,"July",-0.7,2011-07-01,"Below Threshold","La Nina"
529088,2011-08-16 12:00:00,36.6,-122.4,8.17025,2011-08-16 12:00:00,"2011-08",140,2011,"Aug",-0.8,2011-08-01,"Below Threshold","La Nina"
534883,2011-09-16,36.6,-122.4,1.1487501,2011-09-16,"2011-09",141,2011,"Sep",-1.1,2011-09-01,"Below Threshold","La Nina"
540678,2011-10-16 12:00:00,36.6,-122.4,0.8093333,2011-10-16 12:00:00,"2011-10",142,2011,"Oct",-1.3,2011-10-01,"Below Threshold","La Nina"
546473,2011-11-16,36.6,-122.4,0.63308334,2011-11-16,"2011-11",143,2011,"NOv",-1.1,2011-11-01,"Below Threshold","La Nina"
552268,2011-12-16 12:00:00,36.6,-122.4,0.3544444,2011-12-16 12:00:00,"2011-12",144,2011,"Dec",-1.2,2011-12-01,"Below Threshold","La Nina"
558063,2012-01-16 12:00:00,36.6,-122.4,0.429,2012-01-16 12:00:00,"2012-01",145,2012,"Jan",-1.1,2012-01-01,"Below Threshold","La Nina"
563858,2012-02-15 12:00:00,36.6,-122.4,0.6832857,2012-02-15 12:00:00,"2012-02",146,2012,"Feb",-0.7,2012-02-01,"Below Threshold","La Nina"
569653,2012-03-16 12:00:00,36.6,-122.4,0.28963637,2012-03-16 12:00:00,"2012-03",147,2012,"March",-0.6,2012-03-01,"Below Threshold","La Nina"
575448,2012-04-16,36.6,-122.4,0.28599998,2012-04-16,"2012-04",148,2012,"April",-0.4,2012-04-01,"Below Threshold","La Nina"
581243,2012-05-16 12:00:00,36.6,-122.4,2.8472,2012-05-16 12:00:00,"2012-05",149,2012,"May",-0.3,2012-05-01,"Below Threshold","La Nina"
587038,2012-06-16,36.6,-122.4,0.9589285,2012-06-16,"2012-06",150,2012,"June",-0.3,2012-06-01,"Below Threshold","La Nina"
592833,2012-07-16 12:00:00,36.6,-122.4,3.2753334,2012-07-16 12:00:00,"2012-07",151,2012,"July",0.3,2012-07-01,"Above Threshold","El Nino"
598628,2012-08-16 12:00:00,36.6,-122.4,0.3417143,2012-08-16 12:00:00,"2012-08",152,2012,"Aug",0,2012-08-01,"Below Threshold","La Nina"
604423,2012-09-16,36.6,-122.4,0.9116667,2012-09-16,"2012-09",153,2012,"Sep",-0.3,2012-09-01,"Below Threshold","La Nina"
610218,2012-10-16 12:00:00,36.6,-122.4,0.9402857,2012-10-16 12:00:00,"2012-10",154,2012,"Oct",-0.2,2012-10-01,"Below Threshold","La Nina"
616013,2012-11-16,36.6,-122.4,0.41927776,2012-11-16,"2012-11",155,2012,"NOv",0,2012-11-01,"Below Threshold","La Nina"
621808,2012-12-16 12:00:00,36.6,-122.4,0.80964285,2012-12-16 12:00:00,"2012-12",156,2012,"Dec",0,2012-12-01,"Below Threshold","La Nina"
627603,2013-01-16 12:00:00,36.6,-122.4,2.3266997,2013-01-16 12:00:00,"2013-01",157,2013,"Jan",-0.1,2013-01-01,"Below Threshold","La Nina"
633398,2013-02-15,36.6,-122.4,0.9037646,2013-02-15,"2013-02",158,2013,"Feb",-0.1,2013-02-01,"Below Threshold","La Nina"
639193,2013-03-16 12:00:00,36.6,-122.4,2.6264286,2013-03-16 12:00:00,"2013-03",159,2013,"March",-0.1,2013-03-01,"Below Threshold","La Nina"
644988,2013-04-16,36.6,-122.4,1.8312941,2013-04-16,"2013-04",160,2013,"April",-0.3,2013-04-01,"Below Threshold","La Nina"
650783,2013-05-16 12:00:00,36.6,-122.4,3.1158574,2013-05-16 12:00:00,"2013-05",161,2013,"May",-0.7,2013-05-01,"Below Threshold","La Nina"
656578,2013-06-16,36.6,-122.4,1.3741819,2013-06-16,"2013-06",162,2013,"June",-1.1,2013-06-01,"Below Threshold","La Nina"
662373,2013-07-16 12:00:00,36.6,-122.4,NA,2013-07-16 12:00:00,"2013-07",163,2013,"July",-0.8,2013-07-01,"Below Threshold","La Nina"
668168,2013-08-16 12:00:00,36.6,-122.4,0.5502,2013-08-16 12:00:00,"2013-08",164,2013,"Aug",-0.4,2013-08-01,"Below Threshold","La Nina"
673963,2013-09-16,36.6,-122.4,5.336,2013-09-16,"2013-09",165,2013,"Sep",-0.3,2013-09-01,"Below Threshold","La Nina"
679758,2013-10-16 12:00:00,36.6,-122.4,3.0728126,2013-10-16 12:00:00,"2013-10",166,2013,"Oct",-0.1,2013-10-01,"Below Threshold","La Nina"
685553,2013-11-16,36.6,-122.4,1.1376666,2013-11-16,"2013-11",167,2013,"NOv",-0.2,2013-11-01,"Below Threshold","La Nina"
691348,2013-12-16 12:00:00,36.6,-122.4,1.3523334,2013-12-16 12:00:00,"2013-12",168,2013,"Dec",-0.3,2013-12-01,"Below Threshold","La Nina"
697143,2014-01-16 12:00:00,36.6,-122.4,0.821125,2014-01-16 12:00:00,"2014-01",169,2014,"Jan",-0.5,2014-01-01,"Below Threshold","La Nina"
702938,2014-02-15,36.6,-122.4,1.1854,2014-02-15,"2014-02",170,2014,"Feb",-0.4,2014-02-01,"Below Threshold","La Nina"
708733,2014-03-16 12:00:00,36.6,-122.4,1.71875,2014-03-16 12:00:00,"2014-03",171,2014,"March",0,2014-03-01,"Below Threshold","La Nina"
714528,2014-04-16,36.6,-122.4,0.9091333,2014-04-16,"2014-04",172,2014,"April",-0.2,2014-04-01,"Below Threshold","La Nina"
720323,2014-05-16 12:00:00,36.6,-122.4,12.1439,2014-05-16 12:00:00,"2014-05",173,2014,"May",-0.2,2014-05-01,"Below Threshold","La Nina"
726118,2014-06-16,36.6,-122.4,4.237889,2014-06-16,"2014-06",174,2014,"June",0,2014-06-01,"Below Threshold","La Nina"
731913,2014-07-16,36.6,-122.4,1.0397974,2014-07-16,"2014-07",175,2014,"July",0.4,2014-07-01,"Above Threshold","El Nino"
737708,2014-08-16,36.6,-122.4,0.39669403,2014-08-16,"2014-08",176,2014,"Aug",0.2,2014-08-01,"Above Threshold","El Nino"
743503,2014-09-16,36.6,-122.4,0.4373699,2014-09-16,"2014-09",177,2014,"Sep",-0.1,2014-09-01,"Below Threshold","La Nina"
749298,2014-10-16,36.6,-122.4,0.8649374,2014-10-16,"2014-10",178,2014,"Oct",0.1,2014-10-01,"Above Threshold","El Nino"
755093,2014-11-16,36.6,-122.4,0.5197213,2014-11-16,"2014-11",179,2014,"NOv",0.4,2014-11-01,"Above Threshold","El Nino"
760888,2014-12-16,36.6,-122.4,0.6648394,2014-12-16,"2014-12",180,2014,"Dec",0.4,2014-12-01,"Above Threshold","El Nino"
766683,2015-01-16 12:00:00,36.6,-122.4,0.70393974,2015-01-16 12:00:00,"2015-01",181,2015,"Jan",0.2,2015-01-01,"Above Threshold","El Nino"
772478,2015-02-15,36.6,-122.4,0.6364231,2015-02-15,"2015-02",182,2015,"Feb",0.1,2015-02-01,"Above Threshold","El Nino"
778273,2015-03-16 12:00:00,36.6,-122.4,0.9284497,2015-03-16 12:00:00,"2015-03",183,2015,"March",0.2,2015-03-01,"Above Threshold","El Nino"
784068,2015-04-16,36.6,-122.4,31.548761,2015-04-16,"2015-04",184,2015,"April",0.3,2015-04-01,"Above Threshold","El Nino"
789863,2015-05-16 12:00:00,36.6,-122.4,0.4662485,2015-05-16 12:00:00,"2015-05",185,2015,"May",1,2015-05-01,"Above Threshold","El Nino"
795658,2015-06-16,36.6,-122.4,0.75488037,2015-06-16,"2015-06",186,2015,"June",1.9,2015-06-01,"Above Threshold","El Nino"
801453,2015-07-16 12:00:00,36.6,-122.4,1.020729,2015-07-16 12:00:00,"2015-07",187,2015,"July",1.8,2015-07-01,"Above Threshold","El Nino"
807248,2015-08-16 12:00:00,36.6,-122.4,0.42409173,2015-08-16 12:00:00,"2015-08",188,2015,"Aug",2,2015-08-01,"Above Threshold","El Nino"
813043,2015-09-16,36.6,-122.4,0.6362607,2015-09-16,"2015-09",189,2015,"Sep",2.2,2015-09-01,"Above Threshold","El Nino"
818838,2015-10-16 12:00:00,36.6,-122.4,0.5440304,2015-10-16 12:00:00,"2015-10",190,2015,"Oct",2.2,2015-10-01,"Above Threshold","El Nino"
824633,2015-11-16,36.6,-122.4,1.2559041,2015-11-16,"2015-11",191,2015,"NOv",1.9,2015-11-01,"Above Threshold","El Nino"
830428,2015-12-16 12:00:00,36.6,-122.4,1.2478335,2015-12-16 12:00:00,"2015-12",192,2015,"Dec",1.9,2015-12-01,"Above Threshold","El Nino"
836223,2016-01-16 12:00:00,36.6,-122.4,0.6007142,2016-01-16 12:00:00,"2016-01",193,2016,"Jan",1.9,2016-01-01,"Above Threshold","El Nino"
842018,2016-02-15 12:00:00,36.6,-122.4,0.7723807,2016-02-15 12:00:00,"2016-02",194,2016,"Feb",1.8,2016-02-01,"Above Threshold","El Nino"
847813,2016-03-16 12:00:00,36.6,-122.4,1.2791132,2016-03-16 12:00:00,"2016-03",195,2016,"March",1.3,2016-03-01,"Above Threshold","El Nino"
853608,2016-04-16,36.6,-122.4,1.5226425,2016-04-16,"2016-04",196,2016,"April",1.3,2016-04-01,"Above Threshold","El Nino"
859403,2016-05-16 12:00:00,36.6,-122.4,0.63843006,2016-05-16 12:00:00,"2016-05",197,2016,"May",1.2,2016-05-01,"Above Threshold","El Nino"
865198,2016-06-16,36.6,-122.4,2.3455284,2016-06-16,"2016-06",198,2016,"June",0.4,2016-06-01,"Above Threshold","El Nino"
870993,2016-07-16 12:00:00,36.6,-122.4,3.4177203,2016-07-16 12:00:00,"2016-07",199,2016,"July",-0.5,2016-07-01,"Below Threshold","La Nina"
876788,2016-08-16 12:00:00,36.6,-122.4,1.0910981,2016-08-16 12:00:00,"2016-08",200,2016,"Aug",-0.3,2016-08-01,"Below Threshold","La Nina"
882583,2016-09-15 12:00:00,36.6,-122.4,2.0324948,2016-09-15 12:00:00,"2016-09",201,2016,"Sep",-0.3,2016-09-01,"Below Threshold","La Nina"
888378,2016-10-16 12:00:00,36.6,-122.4,1.6894143,2016-10-16 12:00:00,"2016-10",202,2016,"Oct",-0.5,2016-10-01,"Below Threshold","La Nina"
894173,2016-11-15 12:00:00,36.6,-122.4,1.7525696,2016-11-15 12:00:00,"2016-11",203,2016,"NOv",-0.5,2016-11-01,"Below Threshold","La Nina"
899968,2016-12-16 12:00:00,36.6,-122.4,2.1004326,2016-12-16 12:00:00,"2016-12",204,2016,"Dec",-0.4,2016-12-01,"Below Threshold","La Nina"
905763,2017-01-16 12:00:00,36.6,-122.4,1.397209,2017-01-16 12:00:00,"2017-01",205,2017,"Jan",-0.4,2017-01-01,"Below Threshold","La Nina"
911558,2017-02-14 12:00:00,36.6,-122.4,0.50732124,2017-02-14 12:00:00,"2017-02",206,2017,"Feb",-0.4,2017-02-01,"Below Threshold","La Nina"
917353,2017-03-16 12:00:00,36.6,-122.4,1.0539175,2017-03-16 12:00:00,"2017-03",207,2017,"March",-0.6,2017-03-01,"Below Threshold","La Nina"
923148,2017-04-15 12:00:00,36.6,-122.4,1.2736373,2017-04-15 12:00:00,"2017-04",208,2017,"April",-0.2,2017-04-01,"Below Threshold","La Nina"
928943,2017-05-16 12:00:00,36.6,-122.4,1.7946328,2017-05-16 12:00:00,"2017-05",209,2017,"May",0.2,2017-05-01,"Above Threshold","El Nino"
934738,2017-06-15 12:00:00,36.6,-122.4,1.7381727,2017-06-15 12:00:00,"2017-06",210,2017,"June",-0.2,2017-06-01,"Below Threshold","La Nina"
940533,2017-07-16 12:00:00,36.6,-122.4,5.613703,2017-07-16 12:00:00,"2017-07",211,2017,"July",-0.6,2017-07-01,"Below Threshold","La Nina"
946328,2017-08-16 12:00:00,36.6,-122.4,0.7638809,2017-08-16 12:00:00,"2017-08",212,2017,"Aug",-0.7,2017-08-01,"Below Threshold","La Nina"
952123,2017-09-15 12:00:00,36.6,-122.4,1.0775806,2017-09-15 12:00:00,"2017-09",213,2017,"Sep",-0.7,2017-09-01,"Below Threshold","La Nina"
957918,2017-10-16 12:00:00,36.6,-122.4,4.3507085,2017-10-16 12:00:00,"2017-10",214,2017,"Oct",-0.6,2017-10-01,"Below Threshold","La Nina"
963713,2017-11-15 12:00:00,36.6,-122.4,3.163145,2017-11-15 12:00:00,"2017-11",215,2017,"NOv",-0.6,2017-11-01,"Below Threshold","La Nina"
969508,2017-12-16 12:00:00,36.6,-122.4,1.1724383,2017-12-16 12:00:00,"2017-12",216,2017,"Dec",-0.7,2017-12-01,"Below Threshold","La Nina"
975303,2018-01-16 12:00:00,36.6,-122.4,5.049747,2018-01-16 12:00:00,"2018-01",217,2018,"Jan",-0.8,2018-01-01,"Below Threshold","La Nina"
981098,2018-02-14 12:00:00,36.6,-122.4,1.2585471,2018-02-14 12:00:00,"2018-02",218,2018,"Feb",-0.7,2018-02-01,"Below Threshold","La Nina"
986893,2018-03-16 12:00:00,36.6,-122.4,1.1391467,2018-03-16 12:00:00,"2018-03",219,2018,"March",-0.8,2018-03-01,"Below Threshold","La Nina"
992688,2018-04-15 12:00:00,36.6,-122.4,1.3927892,2018-04-15 12:00:00,"2018-04",220,2018,"April",-1.3,2018-04-01,"Below Threshold","La Nina"
998483,2018-05-16 12:00:00,36.6,-122.4,3.0614076,2018-05-16 12:00:00,"2018-05",221,2018,"May",-0.9,2018-05-01,"Below Threshold","La Nina"
