"time","latitude","longitude","chlorophyll","month","year_month","...1","YEAR","Month","Temperature","Date","ColorCategory","enso_event"
2007-05-16 12:00:00,36.8,-121.8,56.257828,"2007-05-16 12:00:00","2007-05",89,2007,"May",-0.4,2007-05-01,"Below Threshold","La Nina"
2007-06-16,36.8,-121.8,62.049286,"2007-06-16","2007-06",90,2007,"June",-0.8,2007-06-01,"Below Threshold","La Nina"
2007-07-16 12:00:00,36.8,-121.8,119.94355,"2007-07-16 12:00:00","2007-07",91,2007,"July",-0.7,2007-07-01,"Below Threshold","La Nina"
2007-08-16 12:00:00,36.8,-121.8,29.695454,"2007-08-16 12:00:00","2007-08",92,2007,"Aug",-0.9,2007-08-01,"Below Threshold","La Nina"
2007-09-16,36.8,-121.8,29.676056,"2007-09-16","2007-09",93,2007,"Sep",-1.1,2007-09-01,"Below Threshold","La Nina"
2007-10-16 12:00:00,36.8,-121.8,93.028534,"2007-10-16 12:00:00","2007-10",94,2007,"Oct",-1.1,2007-10-01,"Below Threshold","La Nina"
2007-11-16,36.8,-121.8,107.615105,"2007-11-16","2007-11",95,2007,"NOv",-1.1,2007-11-01,"Below Threshold","La Nina"
2007-12-16 12:00:00,36.8,-121.8,23.071272,"2007-12-16 12:00:00","2007-12",96,2007,"Dec",-1.2,2007-12-01,"Below Threshold","La Nina"
2008-01-16 12:00:00,36.8,-121.8,5.0101433,"2008-01-16 12:00:00","2008-01",97,2008,"Jan",-1.1,2008-01-01,"Below Threshold","La Nina"
2008-02-15 12:00:00,36.8,-121.8,8.5077505,"2008-02-15 12:00:00","2008-02",98,2008,"Feb",-1.3,2008-02-01,"Below Threshold","La Nina"
2008-03-16 12:00:00,36.8,-121.8,47.93407,"2008-03-16 12:00:00","2008-03",99,2008,"March",-1.5,2008-03-01,"Below Threshold","La Nina"
2008-04-16,36.8,-121.8,41.03436,"2008-04-16","2008-04",100,2008,"April",-1.1,2008-04-01,"Below Threshold","La Nina"
2008-05-16 12:00:00,36.8,-121.8,13.423401,"2008-05-16 12:00:00","2008-05",101,2008,"May",-1,2008-05-01,"Below Threshold","La Nina"
2008-06-16,36.8,-121.8,14.4140005,"2008-06-16","2008-06",102,2008,"June",-0.8,2008-06-01,"Below Threshold","La Nina"
2008-07-16 12:00:00,36.8,-121.8,82.7784,"2008-07-16 12:00:00","2008-07",103,2008,"July",-0.8,2008-07-01,"Below Threshold","La Nina"
2008-08-16 12:00:00,36.8,-121.8,89.561,"2008-08-16 12:00:00","2008-08",104,2008,"Aug",-1,2008-08-01,"Below Threshold","La Nina"
2008-09-16,36.8,-121.8,53.817,"2008-09-16","2008-09",105,2008,"Sep",-1,2008-09-01,"Below Threshold","La Nina"
2008-10-16 12:00:00,36.8,-121.8,50.7928,"2008-10-16 12:00:00","2008-10",106,2008,"Oct",-1.1,2008-10-01,"Below Threshold","La Nina"
2008-11-16,36.8,-121.8,16.781923,"2008-11-16","2008-11",107,2008,"NOv",-1,2008-11-01,"Below Threshold","La Nina"
2008-12-16 12:00:00,36.8,-121.8,49.464455,"2008-12-16 12:00:00","2008-12",108,2008,"Dec",-1,2008-12-01,"Below Threshold","La Nina"
2009-01-16 12:00:00,36.8,-121.8,9.386999,"2009-01-16 12:00:00","2009-01",109,2009,"Jan",-1,2009-01-01,"Below Threshold","La Nina"
2009-02-15,36.8,-121.8,6.018444,"2009-02-15","2009-02",110,2009,"Feb",-0.8,2009-02-01,"Below Threshold","La Nina"
2009-03-16 12:00:00,36.8,-121.8,88.41509,"2009-03-16 12:00:00","2009-03",111,2009,"March",-0.9,2009-03-01,"Below Threshold","La Nina"
2009-04-16,36.8,-121.8,16.99843,"2009-04-16","2009-04",112,2009,"April",-0.8,2009-04-01,"Below Threshold","La Nina"
2009-05-16 12:00:00,36.8,-121.8,13.165666,"2009-05-16 12:00:00","2009-05",113,2009,"May",-0.7,2009-05-01,"Below Threshold","La Nina"
2009-06-16,36.8,-121.8,69.479256,"2009-06-16","2009-06",114,2009,"June",0,2009-06-01,"Below Threshold","La Nina"
2009-07-16 12:00:00,36.8,-121.8,98.853004,"2009-07-16 12:00:00","2009-07",115,2009,"July",0.6,2009-07-01,"Above Threshold","El Nino"
2009-08-16 12:00:00,36.8,-121.8,10.5263,"2009-08-16 12:00:00","2009-08",116,2009,"Aug",0.6,2009-08-01,"Above Threshold","El Nino"
2009-09-16,36.8,-121.8,84.1361,"2009-09-16","2009-09",117,2009,"Sep",0.4,2009-09-01,"Above Threshold","El Nino"
2009-10-16 12:00:00,36.8,-121.8,42.839302,"2009-10-16 12:00:00","2009-10",118,2009,"Oct",0.6,2009-10-01,"Above Threshold","El Nino"
2009-11-16,36.8,-121.8,31.274393,"2009-11-16","2009-11",119,2009,"NOv",1,2009-11-01,"Above Threshold","El Nino"
2009-12-16 12:00:00,36.8,-121.8,11.81,"2009-12-16 12:00:00","2009-12",120,2009,"Dec",1,2009-12-01,"Above Threshold","El Nino"
2010-01-16 12:00:00,36.8,-121.8,6.9530005,"2010-01-16 12:00:00","2010-01",121,2010,"Jan",0.9,2010-01-01,"Above Threshold","El Nino"
2010-02-15,36.8,-121.8,5.7415004,"2010-02-15","2010-02",122,2010,"Feb",1.3,2010-02-01,"Above Threshold","El Nino"
2010-03-16 12:00:00,36.8,-121.8,12.070749,"2010-03-16 12:00:00","2010-03",123,2010,"March",1.3,2010-03-01,"Above Threshold","El Nino"
2010-04-16,36.8,-121.8,35.02843,"2010-04-16","2010-04",124,2010,"April",0.5,2010-04-01,"Above Threshold","El Nino"
2010-05-16 12:00:00,36.8,-121.8,19.858665,"2010-05-16 12:00:00","2010-05",125,2010,"May",-0.1,2010-05-01,"Below Threshold","La Nina"
2010-06-16,36.8,-121.8,29.886497,"2010-06-16","2010-06",126,2010,"June",-1.3,2010-06-01,"Below Threshold","La Nina"
2010-07-16 12:00:00,36.8,-121.8,69.325165,"2010-07-16 12:00:00","2010-07",127,2010,"July",-2.4,2010-07-01,"Below Threshold","La Nina"
2010-08-16 12:00:00,36.8,-121.8,31.627857,"2010-08-16 12:00:00","2010-08",128,2010,"Aug",-2.4,2010-08-01,"Below Threshold","La Nina"
2010-09-16,36.8,-121.8,81.773125,"2010-09-16","2010-09",129,2010,"Sep",-2.3,2010-09-01,"Below Threshold","La Nina"
2010-10-16 12:00:00,36.8,-121.8,16.836376,"2010-10-16 12:00:00","2010-10",130,2010,"Oct",-2.2,2010-10-01,"Below Threshold","La Nina"
2010-11-16,36.8,-121.8,59.62265,"2010-11-16","2010-11",131,2010,"NOv",-2,2010-11-01,"Below Threshold","La Nina"
2010-12-16 12:00:00,36.8,-121.8,52.450504,"2010-12-16 12:00:00","2010-12",132,2010,"Dec",-1.9,2010-12-01,"Below Threshold","La Nina"
2011-01-16 12:00:00,36.8,-121.8,18.248468,"2011-01-16 12:00:00","2011-01",133,2011,"Jan",-1.8,2011-01-01,"Below Threshold","La Nina"
2011-02-15,36.8,-121.8,59.075306,"2011-02-15","2011-02",134,2011,"Feb",-1.6,2011-02-01,"Below Threshold","La Nina"
2011-03-16 12:00:00,36.8,-121.8,6.6790004,"2011-03-16 12:00:00","2011-03",135,2011,"March",-1.7,2011-03-01,"Below Threshold","La Nina"
2011-04-16,36.8,-121.8,20.715399,"2011-04-16","2011-04",136,2011,"April",-1.7,2011-04-01,"Below Threshold","La Nina"
2011-05-16 12:00:00,36.8,-121.8,19.554571,"2011-05-16 12:00:00","2011-05",137,2011,"May",-1.2,2011-05-01,"Below Threshold","La Nina"
2011-06-16,36.8,-121.8,22.8446,"2011-06-16","2011-06",138,2011,"June",-1,2011-06-01,"Below Threshold","La Nina"
2011-07-16 12:00:00,36.8,-121.8,59.504,"2011-07-16 12:00:00","2011-07",139,2011,"July",-0.7,2011-07-01,"Below Threshold","La Nina"
2011-08-16 12:00:00,36.8,-121.8,13.051001,"2011-08-16 12:00:00","2011-08",140,2011,"Aug",-0.8,2011-08-01,"Below Threshold","La Nina"
2011-09-16,36.8,-121.8,57.28628,"2011-09-16","2011-09",141,2011,"Sep",-1.1,2011-09-01,"Below Threshold","La Nina"
2011-10-16 12:00:00,36.8,-121.8,37.739906,"2011-10-16 12:00:00","2011-10",142,2011,"Oct",-1.3,2011-10-01,"Below Threshold","La Nina"
2011-11-16,36.8,-121.8,42.187,"2011-11-16","2011-11",143,2011,"NOv",-1.1,2011-11-01,"Below Threshold","La Nina"
2011-12-16 12:00:00,36.8,-121.8,5.6716924,"2011-12-16 12:00:00","2011-12",144,2011,"Dec",-1.2,2011-12-01,"Below Threshold","La Nina"
2012-01-16 12:00:00,36.8,-121.8,3.9929001,"2012-01-16 12:00:00","2012-01",145,2012,"Jan",-1.1,2012-01-01,"Below Threshold","La Nina"
2012-02-15 12:00:00,36.8,-121.8,6.528199,"2012-02-15 12:00:00","2012-02",146,2012,"Feb",-0.7,2012-02-01,"Below Threshold","La Nina"
2012-03-16 12:00:00,36.8,-121.8,32.47942,"2012-03-16 12:00:00","2012-03",147,2012,"March",-0.6,2012-03-01,"Below Threshold","La Nina"
2012-04-16,36.8,-121.8,22.325626,"2012-04-16","2012-04",148,2012,"April",-0.4,2012-04-01,"Below Threshold","La Nina"
2012-05-16 12:00:00,36.8,-121.8,41.08375,"2012-05-16 12:00:00","2012-05",149,2012,"May",-0.3,2012-05-01,"Below Threshold","La Nina"
2012-06-16,36.8,-121.8,40.5288,"2012-06-16","2012-06",150,2012,"June",-0.3,2012-06-01,"Below Threshold","La Nina"
2012-07-16 12:00:00,36.8,-121.8,11.343,"2012-07-16 12:00:00","2012-07",151,2012,"July",0.3,2012-07-01,"Above Threshold","El Nino"
2012-08-16 12:00:00,36.8,-121.8,93.73328,"2012-08-16 12:00:00","2012-08",152,2012,"Aug",0,2012-08-01,"Below Threshold","La Nina"
2012-09-16,36.8,-121.8,39.317,"2012-09-16","2012-09",153,2012,"Sep",-0.3,2012-09-01,"Below Threshold","La Nina"
2012-10-16 12:00:00,36.8,-121.8,14.447667,"2012-10-16 12:00:00","2012-10",154,2012,"Oct",-0.2,2012-10-01,"Below Threshold","La Nina"
2012-11-16,36.8,-121.8,44.97107,"2012-11-16","2012-11",155,2012,"NOv",0,2012-11-01,"Below Threshold","La Nina"
2012-12-16 12:00:00,36.8,-121.8,10.844126,"2012-12-16 12:00:00","2012-12",156,2012,"Dec",0,2012-12-01,"Below Threshold","La Nina"
2013-01-16 12:00:00,36.8,-121.8,8.301825,"2013-01-16 12:00:00","2013-01",157,2013,"Jan",-0.1,2013-01-01,"Below Threshold","La Nina"
2013-02-15,36.8,-121.8,21.118473,"2013-02-15","2013-02",158,2013,"Feb",-0.1,2013-02-01,"Below Threshold","La Nina"
2013-03-16 12:00:00,36.8,-121.8,46.201584,"2013-03-16 12:00:00","2013-03",159,2013,"March",-0.1,2013-03-01,"Below Threshold","La Nina"
2013-04-16,36.8,-121.8,16.742083,"2013-04-16","2013-04",160,2013,"April",-0.3,2013-04-01,"Below Threshold","La Nina"
2013-05-16 12:00:00,36.8,-121.8,72.78311,"2013-05-16 12:00:00","2013-05",161,2013,"May",-0.7,2013-05-01,"Below Threshold","La Nina"
2013-06-16,36.8,-121.8,77.8984,"2013-06-16","2013-06",162,2013,"June",-1.1,2013-06-01,"Below Threshold","La Nina"
2013-07-16 12:00:00,36.8,-121.8,6.458,"2013-07-16 12:00:00","2013-07",163,2013,"July",-0.8,2013-07-01,"Below Threshold","La Nina"
2013-08-16 12:00:00,36.8,-121.8,98.305,"2013-08-16 12:00:00","2013-08",164,2013,"Aug",-0.4,2013-08-01,"Below Threshold","La Nina"
2013-09-16,36.8,-121.8,39.033558,"2013-09-16","2013-09",165,2013,"Sep",-0.3,2013-09-01,"Below Threshold","La Nina"
2013-10-16 12:00:00,36.8,-121.8,23.275454,"2013-10-16 12:00:00","2013-10",166,2013,"Oct",-0.1,2013-10-01,"Below Threshold","La Nina"
2013-11-16,36.8,-121.8,27.427832,"2013-11-16","2013-11",167,2013,"NOv",-0.2,2013-11-01,"Below Threshold","La Nina"
2013-12-16 12:00:00,36.8,-121.8,5.08825,"2013-12-16 12:00:00","2013-12",168,2013,"Dec",-0.3,2013-12-01,"Below Threshold","La Nina"
2014-01-16 12:00:00,36.8,-121.8,4.1117334,"2014-01-16 12:00:00","2014-01",169,2014,"Jan",-0.5,2014-01-01,"Below Threshold","La Nina"
2014-02-15,36.8,-121.8,10.884222,"2014-02-15","2014-02",170,2014,"Feb",-0.4,2014-02-01,"Below Threshold","La Nina"
2014-03-16 12:00:00,36.8,-121.8,33.998413,"2014-03-16 12:00:00","2014-03",171,2014,"March",0,2014-03-01,"Below Threshold","La Nina"
2014-04-16,36.8,-121.8,52.795612,"2014-04-16","2014-04",172,2014,"April",-0.2,2014-04-01,"Below Threshold","La Nina"
2014-05-16 12:00:00,36.8,-121.8,26.56733,"2014-05-16 12:00:00","2014-05",173,2014,"May",-0.2,2014-05-01,"Below Threshold","La Nina"
2014-06-16,36.8,-121.8,56.275665,"2014-06-16","2014-06",174,2014,"June",0,2014-06-01,"Below Threshold","La Nina"
2014-07-16,36.8,-121.8,23.455166,"2014-07-16","2014-07",175,2014,"July",0.4,2014-07-01,"Above Threshold","El Nino"
2014-08-16,36.8,-121.8,56.86634,"2014-08-16","2014-08",176,2014,"Aug",0.2,2014-08-01,"Above Threshold","El Nino"
2014-09-16,36.8,-121.8,71.007065,"2014-09-16","2014-09",177,2014,"Sep",-0.1,2014-09-01,"Below Threshold","La Nina"
2014-10-16,36.8,-121.8,51.56944,"2014-10-16","2014-10",178,2014,"Oct",0.1,2014-10-01,"Above Threshold","El Nino"
2014-11-16,36.8,-121.8,29.093037,"2014-11-16","2014-11",179,2014,"NOv",0.4,2014-11-01,"Above Threshold","El Nino"
2014-12-16,36.8,-121.8,5.7113175,"2014-12-16","2014-12",180,2014,"Dec",0.4,2014-12-01,"Above Threshold","El Nino"
2015-01-16 12:00:00,36.8,-121.8,16.23373,"2015-01-16 12:00:00","2015-01",181,2015,"Jan",0.2,2015-01-01,"Above Threshold","El Nino"
2015-02-15,36.8,-121.8,17.182636,"2015-02-15","2015-02",182,2015,"Feb",0.1,2015-02-01,"Above Threshold","El Nino"
2015-03-16 12:00:00,36.8,-121.8,50.529297,"2015-03-16 12:00:00","2015-03",183,2015,"March",0.2,2015-03-01,"Above Threshold","El Nino"
2015-04-16,36.8,-121.8,34.647316,"2015-04-16","2015-04",184,2015,"April",0.3,2015-04-01,"Above Threshold","El Nino"
2015-05-16 12:00:00,36.8,-121.8,5.8527956,"2015-05-16 12:00:00","2015-05",185,2015,"May",1,2015-05-01,"Above Threshold","El Nino"
2015-06-16,36.8,-121.8,55.228207,"2015-06-16","2015-06",186,2015,"June",1.9,2015-06-01,"Above Threshold","El Nino"
2015-07-16 12:00:00,36.8,-121.8,11.097327,"2015-07-16 12:00:00","2015-07",187,2015,"July",1.8,2015-07-01,"Above Threshold","El Nino"
2015-08-16 12:00:00,36.8,-121.8,16.054504,"2015-08-16 12:00:00","2015-08",188,2015,"Aug",2,2015-08-01,"Above Threshold","El Nino"
2015-09-16,36.8,-121.8,22.527706,"2015-09-16","2015-09",189,2015,"Sep",2.2,2015-09-01,"Above Threshold","El Nino"
2015-10-16 12:00:00,36.8,-121.8,16.098555,"2015-10-16 12:00:00","2015-10",190,2015,"Oct",2.2,2015-10-01,"Above Threshold","El Nino"
2015-11-16,36.8,-121.8,13.167119,"2015-11-16","2015-11",191,2015,"NOv",1.9,2015-11-01,"Above Threshold","El Nino"
2015-12-16 12:00:00,36.8,-121.8,3.3199372,"2015-12-16 12:00:00","2015-12",192,2015,"Dec",1.9,2015-12-01,"Above Threshold","El Nino"
2016-01-16 12:00:00,36.8,-121.8,5.3686914,"2016-01-16 12:00:00","2016-01",193,2016,"Jan",1.9,2016-01-01,"Above Threshold","El Nino"
2016-02-15 12:00:00,36.8,-121.8,12.543957,"2016-02-15 12:00:00","2016-02",194,2016,"Feb",1.8,2016-02-01,"Above Threshold","El Nino"
2016-03-16 12:00:00,36.8,-121.8,59.26228,"2016-03-16 12:00:00","2016-03",195,2016,"March",1.3,2016-03-01,"Above Threshold","El Nino"
2016-04-16,36.8,-121.8,40.867813,"2016-04-16","2016-04",196,2016,"April",1.3,2016-04-01,"Above Threshold","El Nino"
2016-05-16 12:00:00,36.8,-121.8,14.483245,"2016-05-16 12:00:00","2016-05",197,2016,"May",1.2,2016-05-01,"Above Threshold","El Nino"
2016-06-16,36.8,-121.8,101.58646,"2016-06-16","2016-06",198,2016,"June",0.4,2016-06-01,"Above Threshold","El Nino"
2016-07-16 12:00:00,36.8,-121.8,216.68439,"2016-07-16 12:00:00","2016-07",199,2016,"July",-0.5,2016-07-01,"Below Threshold","La Nina"
2016-08-16 12:00:00,36.8,-121.8,38.219906,"2016-08-16 12:00:00","2016-08",200,2016,"Aug",-0.3,2016-08-01,"Below Threshold","La Nina"
2016-09-15 12:00:00,36.8,-121.8,39.8382,"2016-09-15 12:00:00","2016-09",201,2016,"Sep",-0.3,2016-09-01,"Below Threshold","La Nina"
2016-10-16 12:00:00,36.8,-121.8,76.89001,"2016-10-16 12:00:00","2016-10",202,2016,"Oct",-0.5,2016-10-01,"Below Threshold","La Nina"
2016-11-15 12:00:00,36.8,-121.8,24.610094,"2016-11-15 12:00:00","2016-11",203,2016,"NOv",-0.5,2016-11-01,"Below Threshold","La Nina"
2016-12-16 12:00:00,36.8,-121.8,22.882936,"2016-12-16 12:00:00","2016-12",204,2016,"Dec",-0.4,2016-12-01,"Below Threshold","La Nina"
2017-01-16 12:00:00,36.8,-121.8,11.240598,"2017-01-16 12:00:00","2017-01",205,2017,"Jan",-0.4,2017-01-01,"Below Threshold","La Nina"
2017-02-14 12:00:00,36.8,-121.8,8.610591,"2017-02-14 12:00:00","2017-02",206,2017,"Feb",-0.4,2017-02-01,"Below Threshold","La Nina"
2017-03-16 12:00:00,36.8,-121.8,12.044651,"2017-03-16 12:00:00","2017-03",207,2017,"March",-0.6,2017-03-01,"Below Threshold","La Nina"
2017-04-15 12:00:00,36.8,-121.8,27.129873,"2017-04-15 12:00:00","2017-04",208,2017,"April",-0.2,2017-04-01,"Below Threshold","La Nina"
2017-05-16 12:00:00,36.8,-121.8,61.940056,"2017-05-16 12:00:00","2017-05",209,2017,"May",0.2,2017-05-01,"Above Threshold","El Nino"
2017-06-15 12:00:00,36.8,-121.8,63.678253,"2017-06-15 12:00:00","2017-06",210,2017,"June",-0.2,2017-06-01,"Below Threshold","La Nina"
2017-07-16 12:00:00,36.8,-121.8,19.401073,"2017-07-16 12:00:00","2017-07",211,2017,"July",-0.6,2017-07-01,"Below Threshold","La Nina"
2017-08-16 12:00:00,36.8,-121.8,22.865124,"2017-08-16 12:00:00","2017-08",212,2017,"Aug",-0.7,2017-08-01,"Below Threshold","La Nina"
2017-09-15 12:00:00,36.8,-121.8,138.30977,"2017-09-15 12:00:00","2017-09",213,2017,"Sep",-0.7,2017-09-01,"Below Threshold","La Nina"
2017-10-16 12:00:00,36.8,-121.8,93.394035,"2017-10-16 12:00:00","2017-10",214,2017,"Oct",-0.6,2017-10-01,"Below Threshold","La Nina"
2017-11-15 12:00:00,36.8,-121.8,27.177677,"2017-11-15 12:00:00","2017-11",215,2017,"NOv",-0.6,2017-11-01,"Below Threshold","La Nina"
2017-12-16 12:00:00,36.8,-121.8,19.092678,"2017-12-16 12:00:00","2017-12",216,2017,"Dec",-0.7,2017-12-01,"Below Threshold","La Nina"
2018-01-16 12:00:00,36.8,-121.8,6.180943,"2018-01-16 12:00:00","2018-01",217,2018,"Jan",-0.8,2018-01-01,"Below Threshold","La Nina"
2018-02-14 12:00:00,36.8,-121.8,41.56938,"2018-02-14 12:00:00","2018-02",218,2018,"Feb",-0.7,2018-02-01,"Below Threshold","La Nina"
2018-03-16 12:00:00,36.8,-121.8,37.373016,"2018-03-16 12:00:00","2018-03",219,2018,"March",-0.8,2018-03-01,"Below Threshold","La Nina"
2018-04-15 12:00:00,36.8,-121.8,23.3394,"2018-04-15 12:00:00","2018-04",220,2018,"April",-1.3,2018-04-01,"Below Threshold","La Nina"
2018-05-16 12:00:00,36.8,-121.8,19.858091,"2018-05-16 12:00:00","2018-05",221,2018,"May",-0.9,2018-05-01,"Below Threshold","La Nina"
2018-06-15 12:00:00,36.8,-121.8,71.10808,"2018-06-15 12:00:00","2018-06",222,2018,"June",-0.5,2018-06-01,"Below Threshold","La Nina"
2018-07-16 12:00:00,36.8,-121.8,123.52469,"2018-07-16 12:00:00","2018-07",223,2018,"July",0,2018-07-01,"Below Threshold","La Nina"
2018-08-16 12:00:00,36.8,-121.8,25.297785,"2018-08-16 12:00:00","2018-08",224,2018,"Aug",0.5,2018-08-01,"Above Threshold","El Nino"
2018-09-15 12:00:00,36.8,-121.8,62.87645,"2018-09-15 12:00:00","2018-09",225,2018,"Sep",0.6,2018-09-01,"Above Threshold","El Nino"
2018-10-16 12:00:00,36.8,-121.8,37.691887,"2018-10-16 12:00:00","2018-10",226,2018,"Oct",0.5,2018-10-01,"Above Threshold","El Nino"
2018-11-15 12:00:00,36.8,-121.8,76.94384,"2018-11-15 12:00:00","2018-11",227,2018,"NOv",0.3,2018-11-01,"Above Threshold","El Nino"
2018-12-16 12:00:00,36.8,-121.8,11.031082,"2018-12-16 12:00:00","2018-12",228,2018,"Dec",0.2,2018-12-01,"Above Threshold","El Nino"
2019-01-16 12:00:00,36.8,-121.8,5.6092677,"2019-01-16 12:00:00","2019-01",229,2019,"Jan",0.1,2019-01-01,"Above Threshold","El Nino"
